set,instance,n,capacity,best_known,cost,dev_pct,runtime_s,runtime_total_s,iters,routes,restarts_used,best_seed,time_limit_used,path,band
P,P-n40-k5,40,140,458,481.14421502496754,5.053322057853174,7.875262260437012,7.875262260437012,1645,5,1,100,10.0,data/instances/P/P-n40-k5.vrp,8-10 (<=10%)
P,P-n45-k5,45,150,510,512.7913045095214,0.5473146097100804,10.00349497795105,10.00349497795105,1830,5,1,100,10.0,data/instances/P/P-n45-k5.vrp,8-10 (<=10%)
P,P-n50-k10,50,100,696,712.7354657259158,2.4045209376315784,10.002580881118774,10.002580881118774,1924,10,1,100,10.0,data/instances/P/P-n50-k10.vrp,8-10 (<=10%)
P,P-n50-k7,50,150,554,561.9121710307394,1.4281897167399615,10.001432180404665,10.001432180404665,1732,7,1,100,10.0,data/instances/P/P-n50-k7.vrp,8-10 (<=10%)
P,P-n50-k8,50,120,631,637.9099047734459,1.0950720718614697,10.002490758895874,10.002490758895874,1763,9,1,100,10.0,data/instances/P/P-n50-k8.vrp,8-10 (<=10%)
P,P-n51-k10,51,80,741,767.0764481252132,3.51908881581825,5.969834804534912,5.969834804534912,1297,10,1,100,10.0,data/instances/P/P-n51-k10.vrp,8-10 (<=10%)
P,P-n55-k10,55,115,694,712.8107085053977,2.7104767298843884,10.000772953033447,10.000772953033447,1668,10,1,100,10.0,data/instances/P/P-n55-k10.vrp,8-10 (<=10%)
P,P-n55-k15,55,70,989,954.0632910482564,-3.5325287109953125,10.000220775604248,10.000220775604248,2022,16,1,100,10.0,data/instances/P/P-n55-k15.vrp,8-10 (<=10%)
P,P-n55-k7,55,170,568,575.8316836674128,1.3788175470797164,9.238154888153076,9.238154888153076,1646,7,1,100,10.0,data/instances/P/P-n55-k7.vrp,8-10 (<=10%)
P,P-n55-k8,55,160,588,589.9616518712727,0.3336142638218866,10.005735158920288,10.005735158920288,1794,7,1,100,10.0,data/instances/P/P-n55-k8.vrp,8-10 (<=10%)
P,P-n60-k10,60,120,744,758.8782062562896,1.9997589054152636,10.00233793258667,10.00233793258667,1749,10,1,100,10.0,data/instances/P/P-n60-k10.vrp,8-10 (<=10%)
P,P-n60-k15,60,80,968,980.043886573378,1.2442031584068318,10.00013518333435,10.00013518333435,1889,15,1,100,10.0,data/instances/P/P-n60-k15.vrp,8-10 (<=10%)
P,P-n65-k10,65,130,792,816.1626412435899,3.0508385408573058,10.001821994781494,10.001821994781494,1604,10,1,100,10.0,data/instances/P/P-n65-k10.vrp,8-10 (<=10%)
P,P-n70-k10,70,135,827,851.0813768062086,2.911895623483506,10.005791187286375,10.005791187286375,1793,10,1,100,10.0,data/instances/P/P-n70-k10.vrp,8-10 (<=10%)
P,P-n76-k4,76,350,593,627.8870904827072,5.883151852058552,10.005329132080078,10.005329132080078,1553,4,1,100,10.0,data/instances/P/P-n76-k4.vrp,8-10 (<=10%)
P,P-n76-k5,76,280,627,671.6415772840434,7.11986878533387,10.000102996826172,10.000102996826172,1640,5,1,100,10.0,data/instances/P/P-n76-k5.vrp,8-10 (<=10%)
