set,instances,n_mean,time_mean,time_total_mean,dev_mean,dev_median,dev_max
E,13,54.53846153846154,7.778341476733868,7.778341476733868,2.029688337344773,2.8434692194792417,5.638197438989843
F,3,84.0,8.855820655822754,8.855820655822754,3.1295837690975503,1.6672892224665694,7.204013303293573
M,5,154.6,16.317104244232176,167.31801710128784,5.109157590167898,7.573428985001253,9.090939763670415
P,24,48.208333333333336,8.370240350564321,8.370240350564321,1.9629458815859386,1.3836088485963955,8.000121161295462
