set,instances,n_mean,dev_mean,dev_median,dev_max,time_mean,time_max
E,13,54.53846153846154,2.029688337344773,2.8434692194792417,5.638197438989843,7.778341476733868,10.006217002868652
F,3,84.0,3.1295837690975503,1.6672892224665694,7.204013303293573,8.855820655822754,10.002912044525146
M,5,154.6,5.109157590167899,7.573428985001253,9.090939763670416,16.317104244232176,20.773077964782715
P,24,48.208333333333336,1.9629458815859386,1.3836088485963955,8.000121161295462,8.370240350564321,10.007134914398192
